,Topic,Count,Name,Representation,Representative_Docsabortion
25,24,5365,24_gmo_monsanto_gmos_organic,"['gmo', 'monsanto', 'gmos', 'organic', 'crops', 'food', 'farmers', 'pesticides', 'corn', 'gm']","[""statement point me to some evidence i'd be happy to read it statement there are lots of things in the world that under certain conditions are bad yet we still accept that they have potential for good and therefore use them by being unwilling to split monsanto out you are punishing all gmo players because of the actions of one arguably today monsanto is the big player in gmo but still not the only player it seems obvious to me that peoples problem with gmo isn't gmo it's monsanto their evil stands tall all by itself it's not necessary to single out all gmo because of their actions statement almost makes sense but either way the non gmo product will need to prove it's non gmo to avoid being singled out with a contains gmo's label some kind of certification program is inevitable for non gmo with either approach"", ""indeed i don't particularly have a problem with gmo foods because i fear them to be toxic to consume i fear them because of the way the companies like monsanto operate right now there is a silent war going on between farmers and monsanto monsanto makes seeds that self destruct their genetics after one growing season saving seeds is the way we have fed our culture since we started learning how to grow food every crop is now required to be purchased by monsanto every growing season they have also begun to sue farmers that are not their customers because they just happen to have a field next to a farmers field that uses monsanto seeds why because the monsanto plant's copyrighted genetic code gets transferred to the nongmo field when the plants breed the us supreme court just ruled that those farmers are guilty of copyright infringement this is essentially strong arming farmers into being monsanto customers how could you risk your farm and millions of dollars in fines if someone just happens to plant a gmo field next to yours this will drive other seed manufacturers out of business and leave only monsanto in control of our food fate the other problem with gmo foods granted they are not that we know of toxic but they have far less nutrients and flavor than their non gmo parents this was done by design why remove nutrients from food why because people would just have eat just that much more of it or starve and last about the toxicity of gmo there is no regulation by the fda on gmo foods gmo foods are rated by what the non gmo parent is fda says hmm gmo corn well we know corn is safe so therefore gmo corn is safe there is no testing no review and no regulation other than that what is already in place for non gmo foods they turn a blind eye to it and pretend nothing is wrong because once again because monsanto has walked into politicians offices with briefcases full of money and bribed er i mean lobbied them"", 'so i get that monsanto is a shady company that screws farmers gmo crops require more stronger herbicide and that gmo genes can enter non gmo crops through mating but specifically what is wrong with a gmo crop in and of itself humans have been genetically modifying crops through cross breeding for centuries why all the concern now specifically when it comes to eating gmos']"
26,25,5087,25_wall_mexico_border_immigration,"['wall', 'mexico', 'border', 'immigration', 'build', 'illegal', 'immigrants', 'trump', 'states', 'red']","['first against the wall etc', 'they should all be put against a wall', 'wall and wall what is wall']"
27,26,4744,26_israel_palestinians_israeli_jews,"['israel', 'palestinians', 'israeli', 'jews', 'palestinian', 'jewish', 'israelis', 'palestine', 'hamas', 'netanyahu']","[""now it's israel and the gop against the world"", ""i regret mentioning the bible i fell right into the trap i was trying to point out you have to understand that i'm an atheist i understand all religions as institutions of man all particularly dangerous in their own way there is no god and there is not going to be an armageddon and jesus isn't coming back ever further i'm in no argument to how israel came to be or that it even exists i simply don't care about its claims for statehood and for all purposes possession as the jews will tell you appears to be all that is necessary anyway let's agree there is an israel and it exists and it doesn't matter how that came to be nation borders and influence over history have come and gone judea is not an exception it disappeared altogether israel is not judea it is israel if it makes you feel better to believe they are one in the same enjoy that feeling the jewish civilians of the m e have been under attack for over years as has every other civilian population of varying religions in the region including christians and muslims so what nor is america's support for israel unconditional israel has done nothing which the usa would not do under similar circumstances except that since other populations have also been under attack we seem only to be unconditionally committed to israel it is us policy and the policy platform of both parties to provide unconditional support to israel they state as much in their platform outlines there is a line in the gop platform that states iran threatens america israel and the world not america and the world but america israel and the world makes us wonder why israel isn't simply the st state or is it no other nation not even britain our oldest and most trusted and honored ally is embraced like israel is why shouldn't israel be treated like any other middle east nation this biblical relationship is preventing a clearer and more pragmatic approach to israel to take hold a more objective american policy is to shut israel out and support the palestinian people as they establish a state that can be recognized by other nations of the world as long as we support israel and continue to allow them to strangle the palestinian people there will be terrorism for the purpose of terrorizing israel there is certainly no guarantee that attacks on israel would end but we don't know unless we change the strategy first"", ""israel's only enemy is in israel""]"
28,27,3779,27_koch_brothers_soros_kochs,"['koch', 'brothers', 'soros', 'kochs', 'bros', 'money', 'george', 'ryan', 'billionaires', 'funded']","['why koch of course', 'koch brothers', ""the brothers each own percent of koch industries one of the nation s largest industrial conglomerates maybe with david koch out of the picture all this wealth will fall into the hands of charles koch i don't see how this will change the nature of the beast or even its number it's the koch money that's the problem not the koch brothers and i see no sign that koch money will be withdrawing from politics any time soon""]"
29,28,3276,28_tea_party_teabaggers_partiers,"['tea', 'party', 'teabaggers', 'partiers', 'teahadists', 'teabagger', 'baggers', 'gop', 'republican', 'movement']","['tea party', 'and the tea party', 'there is no tea party']"
30,29,3265,29_jones_mother_article_news,"['jones', 'mother', 'article', 'news', 'journalism', 'magazine', 'articles', 'read', 'story', 'mj']","['mother jones i love you', 'mother jones is news in the us', 'mother jones is right out then']"
31,30,3236,30_lead_swamp_paint_crime,"['lead', 'swamp', 'paint', 'crime', 'poisoning', 'exposure', 'drain', 'levels', 'leaded', 'draining']","['they do lead they lead in pedophilia', ""it's lead right"", 'right but and lead to']"
32,31,3218,31_korea_kim_north_nk,"['korea', 'kim', 'north', 'nk', 'korean', 'jong', 'bolton', 'koreans', 'nuclear', 'south']","['why should north korea do the right thing', 'north korea', 'north korea']"
33,32,3163,32_cruz_ted_cruzs_trump,"['cruz', 'ted', 'cruzs', 'trump', 'hes', 'rubio', 'rafael', 'like', 'father', 'texas']","['so is ted cruz', 'ted cruz is that you', 'and take cruz back too']"
34,33,3109,33_math_statistics_algebra_trend,"['math', 'statistics', 'algebra', 'trend', 'mathematics', 'geometry', 'stats', 'numbers', 'recovery', 'camera']","['why do you hate math', 'math use it', 'and math']"
35,34,3095,34_donnie_deadbeat_donnies_devious,"['donnie', 'deadbeat', 'donnies', 'devious', 'like', 'seeing', 'hes', 'trump', 'little', 'just']","['many people say deadbeat donnie has no plan for anything', ""deadbeat donnie is about as christian as i am the only difference is as an atheist i still try to do the right thing deadbeat donnie only wants to do what's right for deadbeat donnie"", 'deadbeat donnie is for everything he is against']"
36,35,3017,35_vaccines_vaccine_vaccinated_measles,"['vaccines', 'vaccine', 'vaccinated', 'measles', 'flu', 'autism', 'vaccination', 'polio', 'vaccinations', 'children']","['i do not find it helpful to divide the world to pro and anti vaccine populations this polarises the debate and cannot work vaccines have their risks and benefits some work better than others some are riskier than others the overall benefit of some vaccines has been proven beyond reasonable doubt it is reasonable to make some vaccines mandatory because the benefits are so obvious and or that they work only if a certain fraction of the population is vaccinated but accepting the benefit of some vaccines does not compel one to accept the benefit of any vaccine that might be invented the fact that some should be made mandatory does not mean that all should be mandatory the risks and benefits should be weighed in all cases and the conclusion may not always be the same beyond the general considerations above one should also keep in mind that information is asymmetric manufacturers know more about their product than authorities and authorities know more than the public that vaccines are a big business and making one mandatory can be like hitting the jackpot there is every reason to be vigilant denying ignoring risk does not inspire confidence i do not doubt the reality of the cancers i do not even doubt that the vaccine is efficient in reducing infections and eventually cancers and other complications although i wonder whether there is compelling evidence of actually reducing cancers as the vaccine has not been around for very long however i cannot accept that there is no risk and that nobody can get hurt by the vaccination perhaps seriously the cdc themselves recognise the existence of side effects in a certain number of cases it also recognises that this vaccine causes more of certain side effects such as fainting than other comparable ones and therefore amended their protocol recommending the administration of the vaccine while seated and observation for minutes afterwards not a standard procedure for all vaccines a litle bit of fainting is not the end of the world but for the child that faints this may be a very bad experience more serious side effects like convulsions can also be frightening and can clearly occur in a small of the cases young girls and their parents should not be blamed if they see it as a threat this should be weighed against the potential benefit a certain reduction in the risk of contracting a disease many years later i hope the evidence strongly favours the vaccine but i am not convinced by the article which ignores the risks and neither by your reply which insinuates that risks exists only in the minds of some anti vaccine campaigners and any fears are grounded in lies i find your categorical provax stance above as unconvincing as the antivax views of those who are ideologically opposed to vaccination', ""please do your own research if you spend one hour searching the terms below you will absolutely see that there is a massive coverup regarding the damage vaccines are causing there is a mountain of evidence showing that vaccines are the primary cause of the skyrocketing rates of autism allergies arthritis asthma diabetes add narcolepsy sids learning disabilities etc google search each of these queries studies link autism vaccines in ameican children developmental disabilities infant monkeys develop autism symptoms vaccines followingvaccinations com testimonials studi scientifici peer reviewed studies on vaccine damage cdc studies flawed peer reviewed study vaccines merckdoctor gardasil scandal cdc refuses congressman's request to study health ofvaccinated vs non vaccinated studies show non vaccinated kids far healthier than vaccinated dr wakefield proven correct again billions paid out in vaccine injury cases revolving door cdc big pharma dr salk admitted vaccine caused polio epidemic centuries official statistics show vaccines did not save us flu shot ruins immune system measles outbreak vaccinated high school students in american children have chronic health conditions van cleave big pharma is lying and hiding the truth they put out non stop red herrings they suppress evidence then claim there is none"", ""big pharma and the corporate media lie constantly if you do any research you will absolutely see that hugely important facts are blacked out of the media constantly are the recently reported measles outbreaks in the u s being caused by the failure to vaccinate or the failure of the vaccine shockingly clinically confirmed reports of measles vaccine failure in fully vaccinated populations stretch back a quarter of a century from around the world in a recent cnn health opinion piece too easily confused with reporting titled us measles cases in may be the worst in years elizabeth cohen cnn's senior medical correspondent blames the cases of measles the cdc reported occurring from jan through aug th on visitors from countries where measles is common and vaccine objectors within the united states what makes her conspicuously non referenced statistics so disturbing is that she is ignoring a substantial body of literature including peer reviewed and published epidemiological and clinical studies indicating that the recent measles outbreaks are just as likely caused by the failure of the vaccine as by presumably irrational and or irresponsible parents exercising their legal right and responsibility to choose whether or not to vaccine their children let's fill in the data that so obviously got flushed down the memory hole by this irresponsible piece of cnn 'reporting ' first we should acknowledge one underreported fact of immunology vaccine induced antibody elevations do not guarantee real world protection against the pathogen the vaccine is intended to immunize us against which is the only true measure of their value this is not a new observation it goes back decades with a study published in the journal of infectious diseases finding that even though of a population of urban african children had measles antibodies after vaccination vaccine efficacy was not more than or take a look at study that found that even when the measles vaccine successfully generates an elevation of measles specific antibodies out of have non protective titers or one from that found that within a highly vaccinated community experiencing an outbreak of measles antibody responses to measles could be found in of the unvaccinated versus only of the vaccinated they conclude a history of prior measles vaccination is not always associated with immunity nor with the presence of specific antibodies again the point remains the same vaccine induced synthetic immunity does not guarantee real world protection and certainly not with anything near effectiveness despite what the cdc vaccine manufacturers or mainstream news reports imply by blaming the non vaccinated for vaccine failure associated outbreaks read our report on the groundbreaking study published in the journal immunity that challenges the primary antibody based justification for vaccination if you need a more in depth explanation of this critical point second there is plenty of research available today demonstrating that the adverse health effects associated with the measles vaccine and particularly the trivalent mumps measles rubella combination vaccine may far outweigh their purported therapeutic effects that even if a vaccine is successful at preventing and or delaying infection from measles this does not mean that this will improve the overall health of those vaccinated to the contrary it has been known for several decades that the administration of measles vaccine in underdeveloped countries may actually be resulting in higher infant mortality rates this has in fact been a persistent criticism levied against unicef's vaccine heavy strategy in certain regions of africa which appear to have increased mortality rates unicef is not solely to blame as there are quite a few 'charitable health organizations' patting each other on the back for 'saving lives' by reducing 'vaccine preventable diseases ' at the very moment that mortality from vaccine associated adverse effects are increasing this is exactly what's so deranged about the global polio eradication campaign whose claim to have virtually eradicated wild type polio in india obscures the fact that the live vaccine specific strain of polio believed to be twice as lethal as the natural form may now be causing close to cases of polio vaccine associated injury a year measles vaccine failures documented for a quarter of a century around the world""]"
37,36,2586,36_voter_fraud_voting_ballots,"['voter', 'fraud', 'voting', 'ballots', 'vote', 'suppression', 'ballot', 'election', 'florida', 'voters']","['major voter fraud going on', 'well that rules out voter fraud then', 'now the democrats can get all the voter fraud they want trump and beyond']"
38,37,2567,37_farmers_farm_farms_farming,"['farmers', 'farm', 'farms', 'farming', 'crops', 'agriculture', 'corn', 'food', 'farmer', 'crop']","['small farmers perhaps but big corporate farms do not care about the environment or they would all be organic', ""so many experts here but none or very few farmers i have an agribusiness degree and own farm land my father is a full time farmer in west texas not a corporate farmer farmers have access to and use insurance just like every other business crop insurance is not free the farmers pay a lot for it every year government subsidizes a portion because it would be prohibitively expensive otherwise unlike in the old days when farmers had a horse and wooden plow to feed the usa and other countries american farmers must invest heavily due to cost of land and equipment a new tractor can cost if no farmer could afford insurance and there was a widespread string of bad years you would have farmers quitting the trade in droves and then what you be left with no ability to produce crops and shortages of food among other things leading to astronomical pricing economy wide there is a reason why the government and the citizens of the usa all have an interest in providing some form of stability in the agricultural market place and it's still a hard gamble even then if farming was such a get rich scheme then why wouldn't you hear about folks quitting their desk job to do it this is reality people"", ""a lot of farmers i know care much more about treating labor more fairly than you described but when i really think about it those farmers are not the type of farmers who get big subsidies anyway next time i wish you would say some farmers believe or the farmers i know believe instead of farmers believe because for many of us it is important not to repeat the same mistakes as previous generations it's a precision of language thing i have known plenty of folks like you describe as well thanks for considering""]"
39,38,2471,38_article_read_deflection_comments,"['article', 'read', 'deflection', 'comments', 'comment', 'link', 'links', 'articles', 'deleted', 'wikipedia']","[""that's it that's the whole article"", 'so what this article is not about that', 'what article']"
40,39,2460,39_nbsp_www_month_months,"['nbsp', 'www', 'month', 'months', 'weeks', 'laptop', 'om', 'internet', 'hours', 'computer']","[""my friend's step mother makes every hour on the internet she has been without a job for months but last month her payment was just working on the internet for a few hours go to this web site and read more www works c"", ""my friend's step mother makes every hour on the internet she has been without a job for months but last month her payment was just working on the internet for a few hours go to this web site and read more www works c"", ""my friend's step mother makes every hour on the internet she has been without a job for months but last month her payment was just working on the internet for a few hours go to this web site and read more www works c""]"
41,40,2386,40_russian_vlad_comrade_troll,"['russian', 'vlad', 'comrade', 'troll', 'whore', 'boris', 'comment', 'petersburg', 'fuck', 'ivan']","[""it's russian"", 'another russian troll fuck off vlad', 'how would you know you comment russian troll you and vlad can go fuck yourselves']"
42,41,2370,41_emails_email_server_classified,"['emails', 'email', 'server', 'classified', 'snowden', 'information', 'private', 'clinton', 'nsa', 'hillary']","['comey press conference for example seven email chains concern matters that were classified at the top secret special access program level when they were sent and received these chains involved secretary clinton both sending emails about those matters and receiving emails from others about the same matters there is evidence to support a conclusion that any reasonable person in secretary clinton s position or in the position of those government employees with whom she was corresponding about these matters should have known that an unclassified system was no place for that conversation in addition to this highly sensitive information we also found information that was properly classified as secret by the u s intelligence community at the time it was discussed on email that is excluding the later up classified emails none of these emails should have been on any kind of unclassified system but their presence is especially concerning because all of these emails were housed on unclassified personal servers not even supported by full time security staff like those found at departments and agencies of the u s government or even with a commercial service like gmail', 'was any of the classified email marked according to standards as classified no none not asked did hrc use more than one device at a time no one has said but how many people are using the same phone years ago or even last year did hrc provide all the emails that she had yes it is common for emails to be deleted and the ones found may well have been deleted before any emails were asked for', 'of the over emails on his server only around or so were from to the clinton server how long does it take a team to review or so emails a few days']"
43,42,2173,42_id_voter_ids_vote,"['id', 'voter', 'ids', 'vote', 'photo', 'voting', 'license', 'wisconsin', 'fraud', 'card']","['so black people do not have id how do they buy booze seriously if you do not have some form of id how can you function an id is needed to access a bank account there is nothing inherently racist about voter id just because voter fraud is very low should not mean we should not prevent it a few fake votes could mean the difference', 'right up with the id', 'voting is a right though not everyone has id']"
44,43,2162,43_que_la_amigo_le,"['que', 'la', 'amigo', 'le', 'en', 'je', 'est', 'les', 'cest', 'vous']","['por que no', 'on que', 'eur ka si tonton sam savait que c est le probl me de classe qui galvanise le probl me de race que ferait il pour y rem dier doctrine de l abondance et accumulation des richesses certains pensent que vivre dans l abondance au d triment de la classe moyenne est d mocratique l gale et l gitime d autres disent que la logique y manque l argent n a pas d odeur les super riches n ont pas de coeur n acceptent pas l esprit de v rit et ignorent la philosophie de la justice d ailleurs la loi joue le r le de rempart pour les puissants les opulents sont privil gi s au point qu on consid re leur infraction comme une p cadille qui n aper oit pas sans le vouloir ce vivant tableau mis au mur la discr tion des passants les jouisseurs s amusent dans l oc an de l abondance et la classe moyenne d gringole dans les orni res de la pauvret dans une communaut pour un vrai tat de droit et une s re r duction de la d linquance le syst me d conomie distributive s impose k']"
45,44,1961,44_law_lawyers_lawyer_laws,"['law', 'lawyers', 'lawyer', 'laws', 'legal', 'immigrants', 'sue', 'south', 'illegal', 'spanish']","[""law what's that"", 'what law', 'after all the law is the law']"
46,45,1902,45_blocked_block_troll_comment,"['blocked', 'block', 'troll', 'comment', 'history', 'blocking', 'bot', 'flagged', 'trolls', 'trollscum']","['blocked oh please anything but that', 'same blocked', 'sure you are blocked']"
47,46,1879,46_palin_sarah_bachmann_palins,"['palin', 'sarah', 'bachmann', 'palins', 'michele', 'michelle', 'shes', 'bachmanns', 'alaska', 'sara']","['see he has been talking to sarah palin', 'is that you sarah palin', 'i can see sarah palin from my house']"
48,47,1867,47_mj_twitter_stormfront_media,"['mj', 'twitter', 'stormfront', 'media', 'article', 'social', 'mjs', 'tweets', 'news', 'read']","['i am calling mj out on her b s', 'or in an mj article', ""it's not the mj it once was""]"
49,48,1826,48_facebook_fb_zuckerberg_google,"['facebook', 'fb', 'zuckerberg', 'google', 'privacy', 'users', 'data', 'facebooks', 'friends', 'account']","['i am not on facebook i am anti facebook i am pro privacy', 'but they read it on facebook learned everything they know from facebook', 'and facebook is no better']"
50,49,1819,49_gerrymandering_districts_district_gerrymander,"['gerrymandering', 'districts', 'district', 'gerrymander', 'gerrymandered', 'vote', 'state', 'votes', 'seats', 'redistricting']","[""that's more than they have now thanks to gerrymandering"", ""so you're saying that without gerrymandering house districts"", 'and gerrymandering']"
51,50,1744,50_puerto_rico_ricans_haiti,"['puerto', 'rico', 'ricans', 'haiti', 'island', 'statehood', 'rican', 'states', 'trump', 'pr']","[""puerto rico only takes from the usa apparently trump just can't get it through his thick under powered head that puerto rico is part of the usa"", ""change puerto rico's status from colony to state and let the people of puerto rico decide"", 'i think they should have it in puerto rico']"
52,51,1727,51_paul_rand_ron_pauls,"['paul', 'rand', 'ron', 'pauls', 'ayn', 'rands', 'libertarian', 'hes', 'like', 'right']","['is that you rand paul', ""who's rand paul again"", 'rand paul']"
53,52,1695,52_shooter_shooters_suicide_roe,"['shooter', 'shooters', 'suicide', 'roe', 'comments', 'hes', 'just', 'shoot', 'stupid', 'blocked']","[""i'm not shooter's both"", 'well and shooter', 'well there is shooter']"
54,53,1692,53_pence_mike_pences_trump,"['pence', 'mike', 'pences', 'trump', 'indiana', 'vp', 'president', 'hes', 'trumps', 'christian']","['pence will be worse', 'not really we still have pence as in not worth pence', 'pence would be worse']"
55,54,1663,54_kavanaugh_ford_kavanaughs_brett,"['kavanaugh', 'ford', 'kavanaughs', 'brett', 'court', 'judge', 'supreme', 'investigation', 'hagel', 'fords']","[""what's the point of getting shrill kavanaugh or worse is what we are going to get under trump and the republicans if by some chance kavanaugh's nomination is defeated donald will just nominate another kavanaugh or worse"", 'yes kavanaugh s a liar', ""you say that like it's true where's your evidence kavanaugh did that""]"
56,55,1652,55_filibuster_reid_senate_harry,"['filibuster', 'reid', 'senate', 'harry', 'filibusters', 'majority', 'mcconnell', 'democrats', 'republicans', 'senators']","['you have to be some special kind of naive to think that the democrats want to get rid of the filibuster having the filibuster gives the democrats an excuse for doing nothing to stop the oligarchs and the only way the filibuster is going to go away is if the republicans win the senate', 'never enough to filibuster either in fact none attempted a filibuster', 'the filibuster is dead long live the filibuster s']"
57,56,1604,56_dean_deans_thanks_howard,"['dean', 'deans', 'thanks', 'howard', 'deano', 'trolls', 'good', 'post', 'youre', 'dont']","['same to you dean', 'well done dean', 'go dean']"
58,57,1507,57_sarcasm_sarcastic_topic_tag,"['sarcasm', 'sarcastic', 'topic', 'tag', 'meter', 'detector', 'comment', 'post', 'recognize', 'missed']","[""it's sarcasm"", 'is that sarcasm', 'it was sarcasm']"
59,58,1498,58_biden_stein_jill_joe,"['biden', 'stein', 'jill', 'joe', 'vote', 'bidens', 'candidate', 'hillary', 'schultz', 'trump']","['no please not biden', 'and please do not put biden out there', 'so is biden']"
60,59,1393,59_greece_greek_greeks_euro,"['greece', 'greek', 'greeks', 'euro', 'germany', 'eu', 'austerity', 'cyprus', 'debt', 'banks']","[""and greek you don't want us to end up like greece do you"", 'we have to go through greece first', ""it really should have been noted better by mr drum that this isn't just a case of greece vs germany as he seems to be framing it its greece vs the rest of the eu not one single nation in the eu is even offering the littlest bit of support to the greek government none are siding with greece on the issues at hand quite the contrary many of the central european south european and balkan nations are more sick of greece than germany is yes germany has incredible power in the eu but its not just germany that thinks that greece needs reform and the austerity that greece keeps complaining about was never just about cutting government spending it was also about the greek government actually collecting taxes for a change and reforming its economy by opening up certain professions there is very little to like about the greek economy even for the most liberal american its needed reform for years now too many americans are treating the greek crisis as some sort of red state vs blue state morality play but germany is hardly a red state and its pretty bad when countries like france italy and spain have to tell another country to reform its economy greece actually makes italy seem well run""]"
61,60,1389,60_christmas_merry_santa_holidays,"['christmas', 'merry', 'santa', 'holidays', 'holiday', 'claus', 'happy', 'scrooge', 'xmas', 'war']","['and a merry christmas', ""it's a war on christmas"", 'christmas has something for everyone']"
62,61,1334,61_numbers_number_programming_computer,"['numbers', 'number', 'programming', 'computer', 'photo', 'fortran', 'image', 'rayo', 'tv', 'coding']","['where are you getting these numbers', 'what do you believe the numbers are then', 'did you look at the numbers']"
63,62,1255,62_boehner_walker_cantor_boehners,"['boehner', 'walker', 'cantor', 'boehners', 'speaker', 'hea', 'nhw', 'caucus', 'house', 'john']","[""unless you're going as boehner"", 'john boehner d', 'boehner has never made any sense to me']"
64,63,1252,63_lol_thank_sure_thanks,"['lol', 'thank', 'sure', 'thanks', 'yes', 'yeah', 'thats', 'sir', 'good', 'legit']","['lol thanks', 'lol thanks', 'lol thanks']"
65,64,1250,64_snark_snarky_detector_tag,"['snark', 'snarky', 'detector', 'tag', 'comment', 'snarking', 'post', 'snarki', 'sarcasm', 'missed']","['may the snark be with you', 'for the snark', 'it was snark']"
66,65,1234,65_hilbert_domino_hopper_cat,"['hilbert', 'domino', 'hopper', 'cat', 'quilt', 'hilberts', 'looks', 'kevin', 'inkblot', 'dominos']","[""hopper versus hilbert i'm rooting for hilbert"", 'hilbert and hopper would look good in those', 'hopper you think it is safe to go down there hilbert not sure']"
67,66,1220,66_ryan_paul_ryans_hes,"['ryan', 'paul', 'ryans', 'hes', 'trump', 'speaker', 'house', 'like', 'ayn', 'just']","['paul ryan', 'by the ryan', 'ryan who']"
68,67,1210,67_drones_drone_strikes_aircraft,"['drones', 'drone', 'strikes', 'aircraft', 'predator', 'flying', 'use', 'kill', 'military', 'war']","['and u r a drone', 'you are what we call a drone', 'except when we kill people with drones right']"
69,68,1202,68_christie_christies_chris_wildstein,"['christie', 'christies', 'chris', 'wildstein', 'bridge', 'nj', 'jersey', 'traffic', 'governor', 'bully']","[""carson i believe said he was offered a place in the trump government if trump wins same thing with christie christie is dead in new jersey can you 'see' christie as attorney general of the us"", 'who knew christie was a bottom', 'you never go full christie']"
70,69,1162,69_mcconnell_mitch_iowa_mcconnells,"['mcconnell', 'mitch', 'iowa', 'mcconnells', 'turtle', 'senate', 'kentucky', 'polls', 'trump', 'hes']","['mitch mcconnell', 'so is mcconnell', 'and mcconnell']"
71,70,1153,70_torture_tortured_waterboarding_embassy,"['torture', 'tortured', 'waterboarding', 'embassy', 'bush', 'information', 'torturing', 'interrogation', 'torturers', 'geneva']","['it is torture to you to have your evil pointed out to you good if it is torture that means i must be doing something right', 'torture has never given good info no to torture', 'torture is as torture does']"
72,71,1147,71_disqus_comments_comment_account,"['disqus', 'comments', 'comment', 'account', 'reply', 'post', 'profile', 'removed', 'posts', 'thanks']","['stupid disqus', ""that's good disqus"", 'why disqus why']"
73,72,1129,72_cuba_cuban_castro_cubans,"['cuba', 'cuban', 'castro', 'cubans', 'embargo', 'fidel', 'castros', 'batista', 'miami', 'havana']","['i think it is in cuba', 'like cuba', 'just like cuba']"
74,73,1113,73_taliban_afghanistan_afghan_afghans,"['taliban', 'afghanistan', 'afghan', 'afghans', 'war', 'american', 'troops', 'iraq', 'country', 'qaeda']","['the american taliban', 'the american taliban no more no less', 'would these be the same saudis who back the taliban in afghanistan']"
75,74,1057,74_zimmerman_martin_trayvon_zimmermans,"['zimmerman', 'martin', 'trayvon', 'zimmermans', 'police', 'murder', 'gun', 'evidence', 'george', 'black']","[""zimmerman was told by the dispatcher that police were on the way and that they the police did not need zimmerman to follow mr martin had zimmerman listened to and heeded what he was told this wouldn't have happened zimmerman chose to get out of his car and confront martin zimmerman was the legal adult and therefore is responsible for his actions"", 'what about zimmerman how many years did he get', 'of for zimmerman']"
76,75,1053,75_sock_puppet_puppets_socks,"['sock', 'puppet', 'puppets', 'socks', 'comment', 'flagged', 'sockpuppet', 'troll', 'joey', 'new']","['you are sock puppet', 'sock puppet', 'comment sock puppet is sock puppet']"
77,76,988,76_chart_graph_charts_axis,"['chart', 'graph', 'charts', 'axis', 'graphs', 'axes', 'data', 'kevin', 'kevins', 'bar']","['i do not understand the y axis of that chart', 'that chart is from', 'graph chart']"
78,77,958,77_ebola_infected_virus_outbreak,"['ebola', 'infected', 'virus', 'outbreak', 'africa', 'spread', 'disease', 'cdc', 'epidemic', 'hospital']","['except that it was not ebola to begin with', 'ebola also', 'yeah but what did he say about ebola']"
79,78,933,78_reagan_ronald_reagans_alzheimers,"['reagan', 'ronald', 'reagans', 'alzheimers', 'president', 'obama', 'clinton', 'bush', 'saint', 'did']","['around the time of reagan', 'right of reagan how', 'so was reagan']"
80,79,914,79_assange_nunes_wikileaks_julian,"['assange', 'nunes', 'wikileaks', 'julian', 'devin', 'embassy', 'ecuador', 'snowden', 'ecuadorian', 'gov']","[""your evidence there is no evidence of russian intent consists of assange's word assange's close associate's word meanwhile evidence from agencies you call not conclusive not conclusive is not the same thing as no evidence get it straight civil servants from agencies contradict assange and assange's friend it does seem like your passion here is defending assange not defending evidence because assange hasn't given any evidence only his freaking word and his friend's word now that assange is involved in the regime change game himself now that assange has shown his preference for an anti immigration australia first party himself to actual people on the left in australia now that i'm starting to hear possible fossil fuels ties to assange himself trump is getting ready to do what overturn fossil fuels regulations screw a supposed personal vendetta on hillary clinton why does assange hate planet earth you say wikileaks is unimpeachable you're backing the wrong guy assange appears to have the same contempt for women as trump does and the same dislike for brown people for immigrants the same indifference toward climate change his word is unimpeachable now only to sycophants not to anyone else"", ""who is this 'assange' you speak of"", ""assange is nasty assange smells bad assange plays with his own shit assange is a russian agent it's getting tough to find things to like about assange""]"
81,80,906,80_rifle_ar_assault_rifles,"['rifle', 'ar', 'assault', 'rifles', 'automatic', 'rounds', 'magazine', 'magazines', 'weapon', 'round']","['the term made up by politicians is assault weapon assault rifle is established term for selective fire rifles ar is not an assault rifle but it fits into a legal definition of assault weapon in some states almost always ar with heavy barrel is not an assault weapon in md for example', 'the ar is not an assault rifle', ""assault rifle what is that the only type of rifle i know is automatic and semi automatic only semi automatic ak s are legal to own in the us i'm going to guess you also think ar s are assault rifles you are very mistaken if you are going be afraid of guns then you should at least get your facts correct first""]"
82,81,906,81_prisons_prison_private_profit,"['prisons', 'prison', 'private', 'profit', 'prisoners', 'inmates', 'incarceration', 'money', 'state', 'labor']","['much like the military prisons should never be run for profit', 'prisons for profit are criminal', 'as long as you have private for profit prisons you will not see significant prison reform']"
83,82,833,82_conspiracy_theories_theory_theorist,"['conspiracy', 'theories', 'theory', 'theorist', 'conspiracies', 'theorists', 'evidence', 'epstein', 'facts', 'believe']","['that is a conspiracy that i do not believe in', 'the conspiracy itself is a conspiracy', 'or conspiracy']"
84,83,809,83_irony_projection_projecting_ironic,"['irony', 'projection', 'projecting', 'ironic', 'citation', 'citations', 'projections', 'satire', 'cite', 'conservatives']","[""that's not irony that's fantasy you're irony too though"", 'i dont think they see their own irony', 'the irony is beyond thick here']"
