,Topic,Count,Name,Representation,Representative_Docs
38,37,4328,37_joe_joes_creepy_uncle,"['joe', 'joes', 'creepy', 'uncle', 'sleepy', 'pedo', 'slow', 'old', 'hes', 'ol']","['joe who', 'no joe', 'not with joe']"
39,38,4277,38_africa_diversity_south_africans,"['africa', 'diversity', 'south', 'africans', 'zimbabwe', 'african', 'genocide', 'culture', 'mandela', 'tribes']","['south africa', 'see africa', 'in africa']"
40,39,4148,39_list_care_thanks_statistics,"['list', 'care', 'thanks', 'statistics', 'wrong', 'answer', 'heard', 'cares', 'lol', 'question']","['which list', 'please list them', ""you said it p s we're both on the list""]"
41,40,3578,40_plane_tsa_flight_airlines,"['plane', 'tsa', 'flight', 'airlines', 'pilot', 'ship', 'fly', 'aircraft', 'boat', 'flying']","[""it is trump who is like that it's his plane so"", 'did they find the plane', 'but but but it was a plane for the people']"
42,41,3506,41_beer_starbucks_coffee_drink,"['beer', 'starbucks', 'coffee', 'drink', 'coke', 'mcdonalds', 'pipe', 'bong', 'vodka', 'crack']","[""i drink a pot of coffee a day have for years i've only thrown away one cup of coffee in my life starbucks"", 'i don t drink and i think i need another beer', 'and only beer']"
43,42,3351,42_romney_mitt_romneys_obama,"['romney', 'mitt', 'romneys', 'obama', 'murkowski', 'lee', 'campaign', 'vote', 'win', 'republican']","['so you say this was better than romney really', 'f romney', 'good for romney']"
44,43,3280,43_animals_animal_rats_cow,"['animals', 'animal', 'rats', 'cow', 'peta', 'rat', 'cows', 'meat', 'eat', 'halal']","['using animals and what was used prior animals', 'those who need such a law are less than animals', 'animals dont do that']"
45,44,3172,44_water_fires_hurricane_drought,"['water', 'fires', 'hurricane', 'drought', 'storm', 'california', 'rain', 'reservoirs', 'hurricanes', 'ocean']","[""i thought california had a drought people can't use water to wash their own a e wouldn't a flood be welcome"", 'i know and bring your own water when you vote', ""before you start complaining too much about the difference in water prices between inland farms and coastal cities consider the actual cost involved in getting that water to its destination it costs substantially more to transport water to the coast than to inland areas of course that is going to be reflected in the final price for that water with coastal water being quite a bit more expensive simply because of the transportation costs also are you comparing prices for the same exact water or are you comparing the price for the raw untreated water that farms receive against the purified and highly treated water that comes out of your tap i think if you look into the actual costs and what goes into the final prices for the water you would discover there is really not the gross inequity that you think exists also i'm not sure where you come up with idea that farmers are massively overusing water or demanding more in fact farmers today use less water per acre and produce more crop per acre than years ago on the other hand cities are using a lot more water than years ago if you look at the overall water use in california over the last years it's the urban use that has increased by leaps and bounds while agricultural water use has remained steady or even declined""]"
46,45,3086,45_turkey_erdogan_turks_turkish,"['turkey', 'erdogan', 'turks', 'turkish', 'nato', 'turkeys', 'ottoman', 'armenians', 'kurds', 'erdogans']","['or against turkey', 'what a turkey', 'have you been to turkey']"
47,46,3006,46_soros_george_funded_paid,"['soros', 'george', 'funded', 'paid', 'troll', 'soross', 'money', 'trolls', 'funding', 'nazi']","['just like soros', 'soros has yours', ""it's soros""]"
48,47,2915,47_plantation_lawyers_lawyer_judge,"['plantation', 'lawyers', 'lawyer', 'judge', 'court', 'lawsuit', 'sue', 'justice', 'attorney', 'attorneys']","['just need to have one good lawyer to take the government to court', 'you mean his lawyer and judge', 'you would be right in your assessment to be a judge you have to be a lawyer i would bet or greater of our politicians are lawyers lawyer politician liar judge no difference']"
49,48,2900,48_french_france_paris_hollande,"['french', 'france', 'paris', 'hollande', 'frances', 'frenchmen', 'revolution', 'europe', 'frenchman', 'country']","['do any of those french migrants speak french', 'for once i agree with the french', 'go france']"
50,49,2785,49_globalist_globalists_trade_nwo,"['globalist', 'globalists', 'trade', 'nwo', 'tariffs', 'globalism', 'nafta', 'nationalism', 'global', 'world']","['just the new world order globalists and they are both parties', ""you're a globalist"", 'no he was a globalist']"
51,50,2724,50_korea_north_kim_nk,"['korea', 'north', 'kim', 'nk', 'korean', 'jong', 'koreans', 'south', 'nuclear', 'china']","['you could say the same thing about north korea', ""what's this north korea"", 'big north korea']"
52,51,2713,51_obozo_obummer_obola_derangement,"['obozo', 'obummer', 'obola', 'derangement', 'dims', 'syndrome', 'murphy', 'obozos', 'obongo', 'certificate']","['ask any blm what obozo did for them', 'shut up obozo you p you should be in prison', 'has been but he love obozo']"
53,52,2631,52_sweden_swedish_swedes_denmark,"['sweden', 'swedish', 'swedes', 'denmark', 'norway', 'vikings', 'swedens', 'danes', 'danish', 'rape']","['like we are any better than sweden', 'even sweden', ""sweden sweden i don't believe it""]"
54,53,2595,53_barry_barrys_soetoro_bathhouse,"['barry', 'barrys', 'soetoro', 'bathhouse', 'bath', 'house', 'golf', 'hes', 'king', 'boy']","['she and barry are muslims', 'neither did barry', ""where's barry""]"
55,54,2473,54_jeb_graham_lindsey_huckabee,"['jeb', 'graham', 'lindsey', 'huckabee', 'bush', 'jebs', 'jebbie', 'nomination', 'huck', 'love']","['better then jeb', 'no jeb trump', 'jeb who']"
56,55,2454,55_turd_smell_blood_smells,"['turd', 'smell', 'blood', 'smells', 'turds', 'soap', 'light', 'bulb', 'stink', 'cookie']","[""he's a turd"", 'a turd by any other name', 'what a turd']"
57,56,2405,56_ammo_ar_rifle_rounds,"['ammo', 'ar', 'rifle', 'rounds', 'glock', 'mm', 'pistol', 'gun', 'round', 'weapon']","['more ammo', 'who has enough ammo for that', 'hey joe the ar in ar rifle stands for armalite rifle after the company that developed it in the s ar does not stand for assault rifle or automatic rifle']"
58,57,2392,57_canada_trudeau_canadian_canadians,"['canada', 'trudeau', 'canadian', 'canadians', 'patton', 'justin', 'quebec', 'cbc', 'canadas', 'trudeaus']","['canada too', 'are we canada now', 'please please please go to canada']"
59,58,2357,58_dog_dogs_cat_cats,"['dog', 'dogs', 'cat', 'cats', 'chicken', 'pit', 'bulls', 'animal', 'puppy', 'poodle']","['poor dog', 'bad dog', 'my dog is here with me']"
60,59,2336,59_rinos_rino_republican_party,"['rinos', 'rino', 'republican', 'party', 'gop', 'republicans', 'cochran', 'democrats', 'conservative', 'vote']","['they were rinos no different than a democrat', ""that's because most of the republicans are rinos"", 'and the rinos will still vote for it']"
61,60,2327,60_mccain_utah_john_mccains,"['mccain', 'utah', 'john', 'mccains', 'graham', 'mormon', 'romney', 'flake', 'hero', 'senator']","['well mccain obama what now', ""with mccain it's done"", 'and mccain']"
62,61,2311,61_amnesty_visa_workers_visas,"['amnesty', 'visa', 'workers', 'visas', 'immigration', 'jobs', 'labor', 'illegals', 'illegal', 'american']","['either one is a vote for amnesty', 'can you give amnesty to yourself', 'his whole being is amnesty']"
63,62,2270,62_polls_poll_polling_pollsters,"['polls', 'poll', 'polling', 'pollsters', 'results', 'polled', 'survey', 'numbers', 'sample', 'election']","['of polls are crap', ""i can't make myself believe that this election is going to be as close as these polls say it is i've also read that the rcp poll is a national poll which is less reliable than individual state polls no matter what the poll however i don't believe in them"", 'polls can say whatever you want them to say']"
64,63,2255,63_baseball_mlb_game_pitcher,"['baseball', 'mlb', 'game', 'pitcher', 'yankees', 'sox', 'cubs', 'dodgers', 'series', 'astros']","['made for tv baseball', ""if i were a baseball fan i'd stop being a baseball fan these players are acting like women"", 'so there goes baseball']"
65,64,2242,64_fish_shark_sharks_sand,"['fish', 'shark', 'sharks', 'sand', 'fishing', 'tree', 'trees', 'pound', 'burn', 'fertilizer']","['just when you thought the feckless rinos in congress had jumped the shark they go and find two sharks', 'so long and thanks for all the fish', 'shark food']"
66,65,2198,65_bb_censorship_internet_censor,"['bb', 'censorship', 'internet', 'censor', 'censored', 'neutrality', 'censors', 'net', 'censoring', 'content']","['lol you are right look up bb', 'bb does this too much', 'not here on bb']"
67,66,2190,66_facts_evidence_story_proof,"['facts', 'evidence', 'story', 'proof', 'humor', 'truth', 'idiot', 'paste', 'comment', 'claim']","['what facts are those', 'these are facts already in evidence', 'on facts d']"
68,67,2176,67_cuba_cuban_castro_cubans,"['cuba', 'cuban', 'castro', 'cubans', 'castros', 'fidel', 'communist', 'regime', 'raul', 'havana']","[""find of them and you got a good start the american cuban's are fat and comfortable the have done nothing to free cuba for years they must be waiting for the castro brothers to die off or they don't care any more"", 'his place is in cuba', 'go back to cuba']"
69,68,2099,68_schiff_bannon_teleprompter_adam,"['schiff', 'bannon', 'teleprompter', 'adam', 'harris', 'schiffs', 'kamala', 'steve', 'trump', 'brains']","['maybe schiff', 'you really can make this schiff up', 'as bad as schiff']"
70,69,2074,69_msm_carly_news_ms,"['msm', 'carly', 'news', 'ms', 'fake', 'propaganda', 'trump', 'truth', 'msms', 'lies']","['the left and the msm need to go now', 'not msm', ""i'm sure that's also all over the msm""]"
71,70,2032,70_clinton_clintons_foundation_hillary,"['clinton', 'clintons', 'foundation', 'hillary', 'arkansas', 'crime', 'lynch', 'money', 'foundations', 'family']","['on the clinton side', 'bill clinton', 'which clinton']"
72,71,1999,71_rubio_marco_rubios_amnesty,"['rubio', 'marco', 'rubios', 'amnesty', 'gang', 'cruz', 'establishment', 'jeb', 'immigration', 'rino']","['on the rubio thing', 'and rubio', 'i have nothing for rubio']"
73,72,1985,72_golf_tiger_pga_golfing,"['golf', 'tiger', 'pga', 'golfing', 'woods', 'golfer', 'golfers', 'play', 'tigers', 'tour']","[""no one i'd want too play golf with too stupid"", 'make golf great again tiger', 'golf anyone']"
74,73,1876,73_venezuela_maduro_chavez_venezuelan,"['venezuela', 'maduro', 'chavez', 'venezuelan', 'venezuelans', 'hugo', 'oil', 'socialism', 'socialist', 'venezuelas']","['get a life in venezuela', 'see venezuela', 'or this whole country could become venezuela in years or so']"
75,74,1868,74_nbsp_nations_united_organization,"['nbsp', 'nations', 'united', 'organization', 'funding', 'world', 'council', 'countries', 'rights', 'human']","['the united nations does not respond to anything', 'the united nations is made up of dictatorships which explains their actions the united states should cut off their money and kick them out of america the united nations are against freedom for the individual and for tin pot dictators', ""un is using climate change as a vehicle to usher in globalism communism it's been tried before destroy the un they no longer fulfill their mandate for what the organization was created for demand our government offer a national referendum on leaving the un and moving the un off of american soil in the next national election do you think the globalist shills in both the democratic party and their lackey rino's in the republican party would let such a referendum move forward no they would not they know the american people would overwhelmingly support such a measure nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp get the us out of the un and the un out of the the us long live nationalism long live the republic the un and democrats are the enemy of america in this struggle nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp build the wall nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp m nbsp nbsp a nbsp nbsp g nbsp nbsp a""]"
76,75,1836,75_snowflake_snowflakes_ai_door,"['snowflake', 'snowflakes', 'ai', 'door', 'robot', 'robots', 'triggered', 'hit', 'safe', 'funeral']","['you poor snowflake', 'what a snowflake', 'your snowflake is on fire']"
77,76,1816,76_bibi_book_john_books,"['bibi', 'book', 'john', 'books', 'baloney', 'ching', 'hoo', 'boo', 'heard', 'krauthammer']","[""i think i'm on bibi s side with this one hell i m always on bibi s side"", 'bibi will be back', 'go bibi']"
78,77,1790,77_kamala_schumer_harris_chuck,"['kamala', 'schumer', 'harris', 'chuck', 'kamalas', 'schumers', 'willie', 'nadler', 'daleiden', 'kamal']","['did what kamala besides nothing', 'kamala is on it', 'that s kamala']"
79,78,1789,78_unions_union_bitcoin_currency,"['unions', 'union', 'bitcoin', 'currency', 'workers', 'dues', 'crypto', 'gold', 'sector', 'members']","['dead unions', 'all to the unions that is where it is going', 'unions only help unions not the workers']"
80,79,1786,79_texas_austin_texans_texan,"['texas', 'austin', 'texans', 'texan', 'tx', 'state', 'houston', 'california', 'live', 'dallas']","['texas is again', ""it's texas"", 'please do not put them in texas']"
81,80,1770,80_mask_masks_wear_wearing,"['mask', 'masks', 'wear', 'wearing', 'mandates', 'mandate', 'face', 'masked', 'masking', 'distancing']","['or anyone wearing a mask', 'why is he wearing a mask', ""where are their masks if you're gonna demand kids wear a mask then be an example another case of do as i say not as i do""]"
82,81,1746,81_merkel_germany_merkels_angela,"['merkel', 'germany', 'merkels', 'angela', 'german', 'germans', 'eu', 'europe', 'frau', 'afd']","['merkel is to germany what obama is to the us', 'do may or merkel have any children', 'merkel or may']"
83,82,1710,82_ryan_paul_ryans_nehlen,"['ryan', 'paul', 'ryans', 'nehlen', 'speaker', 'rino', 'lyin', 'trump', 'house', 'gop']","['paul ryan', 'another paul ryan', 'ryan must go']"
84,83,1702,83_poland_hungary_polish_orban,"['poland', 'hungary', 'polish', 'orban', 'hungarian', 'hungarians', 'eu', 'poles', 'czech', 'europe']","['protect yourselves poland hungary and others they are not your friends', 'f the un and good for poland and hungary', 'you do know that poland and hungary are catholic countries']"
85,84,1700,84_lie_lies_liar_lying,"['lie', 'lies', 'liar', 'lying', 'liars', 'truth', 'lied', 'avatar', 'pathological', 'story']","['what was his most serious lie', 'lie often liar', 'lie what did i lies about']"
86,85,1612,85_italy_italian_italians_holocaust,"['italy', 'italian', 'italians', 'holocaust', 'swiss', 'germany', 'switzerland', 'italys', 'german', 'eu']","['are you talking about italy or the us', 'are you back in italy or the old country', 'it is time to make italy great for italians']"
87,86,1611,86_walmart_target_leo_shoot,"['walmart', 'target', 'leo', 'shoot', 'stores', 'trailer', 'shot', 'knife', 'shop', 'lowes']","['walmart is part of the problem', 'a walmart', 'same with walmart']"
88,87,1596,87_tea_party_partiers_gop,"['tea', 'party', 'partiers', 'gop', 'republican', 'establishment', 'movement', 'republicans', 'teabaggers', 'conservatives']","['no problem go tea party', 'like they did to the tea party people', 'way to go tea party']"
89,88,1586,88_sessions_garland_jeff_gowdy,"['sessions', 'garland', 'jeff', 'gowdy', 'ag', 'gorsuch', 'scalia', 'trey', 'puppet', 'merrick']","['although he doesnt get anything done sessions', 'did sessions', 'can trump and sessions it down']"
90,89,1552,89_apple_iphone_microsoft_phone,"['apple', 'iphone', 'microsoft', 'phone', 'windows', 'app', 'android', 'products', 'comcast', 'internet']","['i think he works for apple', 'f apple', ""what's good for china is what's good for apple""]"
91,90,1484,90_swamp_drain_oz_draining,"['swamp', 'drain', 'oz', 'draining', 'fetterman', 'creatures', 'creature', 'drained', 'trump', 'swamps']","['you mean swamp', 'trump is the swamp', 'one swamp']"
92,91,1471,91_google_search_googles_engine,"['google', 'search', 'googles', 'engine', 'bing', 'duckduckgo', 'fakebook', 'searches', 'use', 'company']","['google do only evil', 'google do evil', 'you cannot stop the people google']"
93,92,1451,92_troll_trolls_trolling_comments,"['troll', 'trolls', 'trolling', 'comments', 'concern', 'posts', 'post', 'account', 'bridge', 'comment']","['troll yourself', 'back again troll', ""it's a troll""]"
94,93,1434,93_fjb_duck_dave_cheat,"['fjb', 'duck', 'dave', 'cheat', 'cheating', 'ban', 'banned', 'quack', 'daves', 'joel']","['and fjb', 'well done fjb', 'fjb s']"
95,94,1430,94_mcconnell_walker_cornyn_mitch,"['mcconnell', 'walker', 'cornyn', 'mitch', 'rino', 'senate', 'mcconnells', 'kentucky', 'rinos', 'bevin']","['mcconnell is one of them', ""and mcconnell's even more"", 'mcconnell too']"
96,95,1410,95_sheep_goat_goats_sheeple,"['sheep', 'goat', 'goats', 'sheeple', 'parasite', 'euthanasia', 'parasites', 'wolves', 'lamb', 'assisted']","['sheep not people', 'well most sheep do so you are not alone', 'what a sheep']"
97,96,1410,96_refugees_asylum_refugee_seekers,"['refugees', 'asylum', 'refugee', 'seekers', 'passport', 'migrants', 'countries', 'inmates', 'passports', 'country']","['facilities should be set up around the borders to process many refugees and asylum seekers', 'i support asylum for central american refugees', 'they are not coming here as refugees']"
98,97,1390,97_cuomo_nursing_cuomos_andrew,"['cuomo', 'nursing', 'cuomos', 'andrew', 'ny', 'homes', 'york', 'governor', 'fredo', 'elderly']","['thank cuomo', 'just trying to keep up with cuomo', 'he s not cuomo got that going for him']"
99,98,1378,98_parents_kids_mutilation_children,"['parents', 'kids', 'mutilation', 'children', 'shirts', 'shirt', 'child', 'genital', 'bathrooms', 'spoiled']","['they always go after our kids', ""it doesn't matter what the kids think as long a the kids are kids the adult parents are supposed to do the thinking"", 'evil hell its illegal kids cannot make adult decisions and parents should be removed if they allow self mutilation']"
100,99,1361,99_war_vietnam_invasion_vietnamese,"['war', 'vietnam', 'invasion', 'vietnamese', 'abbott', 'wars', 'invaders', 'invaded', 'military', 'native']","['not our war', 'if it be war so be it', 'you should be at war with nobody']"
101,100,1351,100_rand_paul_ron_pauls,"['rand', 'paul', 'ron', 'pauls', 'rands', 'senator', 'amnesty', 'libertarian', 'paulbots', 'paulie']","['rand paul could vote with them', 'rand paul', 'rand paul']"
102,101,1327,101_boris_churchill_johnson_chamberlain,"['boris', 'churchill', 'johnson', 'chamberlain', 'neville', 'winston', 'britain', 'brexit', 'lab', 'eu']","['i know but you like me well done boris', ""that's boris for you"", 'boris who']"
103,102,1324,102_snl_stewart_kimmel_jon,"['snl', 'stewart', 'kimmel', 'jon', 'funny', 'comedy', 'fallon', 'skit', 'williams', 'jimmy']","['remember when snl used to be funny yeah me neither', 'never watch snl they are for the idiots anyway', 'the real news is that snl did something funny']"
104,103,1285,103_commie_commies_pinko_troll,"['commie', 'commies', 'pinko', 'troll', 'demo', 'scum', 'bastard', 'stfu', 'pos', 'like']","['they are not commie any more we are', ""still he's a commie so what"", 'he is a commie']"
105,104,1265,104_wall_build_mexico_border,"['wall', 'build', 'mexico', 'border', 'built', 'building', 'fence', 'trump', 'walls', 'pay']","['just do it put the money toward the wall', 'wall money', 'more money for the wall']"
106,105,1250,105_clown_clowns_circus_rodeo,"['clown', 'clowns', 'circus', 'rodeo', 'car', 'peterson', 'carlos', 'weiner', 'bozo', 'ass']","['you are a clown', ""who's the clown now bill"", 'who is this clown']"
107,106,1245,106_boehner_speaker_boehners_warnock,"['boehner', 'speaker', 'boehners', 'warnock', 'cantor', 'house', 'gop', 'john', 'tea', 'amnesty']","['boehner is from oh', 'if boehner has anything to do with it nothing at all', 'you are going to make boehner cry again']"
108,107,1244,107_woke_fear_wake_sleep,"['woke', 'fear', 'wake', 'sleep', 'wokeness', 'walk', 'spin', 'waking', 'awake', 'warning']","['only the woke part', 'because it s woke', 'not woke enough']"
109,108,1229,108_oil_pipeline_keystone_drilling,"['oil', 'pipeline', 'keystone', 'drilling', 'gas', 'energy', 'pipelines', 'nuclear', 'production', 'prices']","['what happens to the price of oil if a democrat is elected potus and democrats control congress they would stop fracking and cut american production of anything that comes from oil hello per barrel oil prices up from per bbl today who benefits the most in all the world from such a dramatic increase in the price of oil the biggest oil producers and exporters benefit the most the us is one of the largest but in the us oil minerals are owned privately who are countries that would benefit the most by per barrel oil they are saudi arabia russia venezuela iran russia would almost double the revenue it gets from its vast oil reserves why would russia want to support trump a man who is all that is standing between a barrel oil prices and a barrel oil prices the media know this and never ever ever point this out to the public', 'thanks to oil we have well just about everything we have', 'oil say']"
110,109,1186,109_sie_und_que_la,"['sie', 'und', 'que', 'la', 'ein', 'es', 'ist', 'si', 'twit', 'nicht']","[""sprich nicht ber germane wichser arschgeburten von niederer herkunft und ohne taaten sind nicht gemacht zum prahlen dich hat who'll der schuler stecher deines baters zu tief in den arsch gefickt uns hirn verletzt huresohn ich verstecke mich nicht hinter v tern sie sollen meinen mut preisen you love germanic stuff a hole go teich me german idiot"", 'du bist ein depp j rgen und vermutlich auch einer derjenigen der keine kinder hat und sich die derzeitigen realit ten auf unseren stra en und bahnh fen nicht geben muss', 'il n est pas tonnant de voir les services secrets des grandes puissances mais aussi et surtout gyptiens et soudanais qui sont l origine des troubles sociaux en thiopie car l eau est une source vitale et tout est donc possible par voie de cons quence les politiques thiopiens endossent toute la responsabilit de ce chaos soci tal qui engendrerait une guerre civile noter que si les thiopiens trouvent refuge dans les pays voisins et en particulier le soudan alors si guerre se d clare alg rie vs maroc les marocains n auront aucun refuge car le nord il y la m diterran e l ouest il y a l oc an atlantique le sud le grand sahara et reste donc le voisin de l est alg rie qui ferme et surveille troitement cette fronti re et donc une guerre civile est vite d clench e berb res vs arabes une autre sous jacente qui est aussi civile de souss massa vs atlas vs touar gue vs rif car ces berb res ou pr tendant tre des berb res sont diversifi s et ne s entendent sur rien et chaque ethnie rejette l autre j ai beau visit ces ethnies chez eux et ces citoyens berb res rejettent les autres citoyens des autres ethnies et donc ces berb res ne peuvent s unir m me si l ennemi arabe est unique car tous ces berb res ont froid au dos devant les arabes et pour cause il y a plus de ans quand kouceila un chef berb re avait os tu son chef militaire arabe fehri c tait un autre arabe venu de syrie car le calif l poque tait damas qui tait venu tu koceila et ses acolytes qui d testaient les arabes et la religion musulmane donc ces berb res d aujourd hui savent la col re des arabes qui sont plus de millions d arabes dans le monde ces berb res se contentent aujourd hui de troubler l ordre public avec leurs manigances et la sorcellerie et des t l pathies user la m thode du film le silence des agneaux un jeu d autruche au point que la police cens e prot ger les citoyens ont peur des manigances de ces berb res et donc si guerre se d clare avec l alg rie sur une question du sahara occidental ou sur les fronti res poreuses avec une circulation libre des drogues et du p trole ces berb res n auront aucune chance ou presque d avoir refuge ailleurs comme les thiopiens et donc une guerre civile transfrontali res qui pend son nez dans tous les pays arabes est ce pour autant il faut revoir la question des fronti res impos par le colonisateur fran ais britannique ou encore comme l a soulign implicitement nasrallah dans son dernier discours qu il contr lerait l tat libanais et fait un signe pour un rapprochement avec la syrie un seul pays et non deux pays et un seul peuple']"
111,110,1159,110_uber_train_bridge_trains,"['uber', 'train', 'bridge', 'trains', 'taxi', 'drivers', 'cab', 'lyft', 'driver', 'rail']","['will they call an uber to take them back to work', 'no uber for me ever', 'call uber']"
112,111,1141,111_laugh_funny_thanks_hilarious,"['laugh', 'funny', 'thanks', 'hilarious', 'chuckle', 'analysis', 'link', 'bravo', 'laughing', 'comment']","['thanks for the laugh', ""that's hilarious thanks for the laugh"", 'that is hilarious thanks for the laugh']"
113,112,1125,112_drone_drones_missile_tunnel,"['drone', 'drones', 'missile', 'tunnel', 'missiles', 'strike', 'tunnels', 'bomb', 'cruise', 'flying']","['and when your a drone your a drone', ""that's it drone"", 'drone please']"
114,113,1121,113_rino_rinos_ryan_paul,"['rino', 'rinos', 'ryan', 'paul', 'mcconnell', 'primaried', 'pos', 'season', 'turtle', 'hes']","['we will see rino', 'another rino', ""and you're a rino""]"
115,114,1110,114_disney_walt_jerry_mickey,"['disney', 'walt', 'jerry', 'mickey', 'disneyland', 'disneys', 'mouse', 'iger', 'woke', 'parks']","['disney needs to go away', ""it's a disney company you know disney they just love children"", 'not a good look for you disney']"
116,115,1085,115_science_camel_scientists_scientific,"['science', 'camel', 'scientists', 'scientific', 'camels', 'scientist', 'consensus', 'settled', 'data', 'method']","['that s science', 'science please', 'if it s the third it s not science']"
117,116,1081,116_harry_miley_bruce_jenner,"['harry', 'miley', 'bruce', 'jenner', 'cyrus', 'mia', 'harrys', 'caitlyn', 'gay', 'allen']","['maybe harry he has been going over the top more than a few times', 'friends of harry', ""don't you have something else to do harry""]"
118,117,1024,117_car_cars_driving_village,"['car', 'cars', 'driving', 'village', 'gps', 'chevy', 'truck', 'drive', 'driverless', 'autonomous']","[""i love cars and enjoy driving i go out for a drive to wind down there is no way in h l that i'll pay extra for giving up something i love i will never own a self driving car"", 'car where are you', 'to be a car']"
119,118,1015,118_ebola_disease_outbreak_cdc,"['ebola', 'disease', 'outbreak', 'cdc', 'africa', 'infected', 'virus', 'epidemic', 'spread', 'quarantine']","['f president ebola', 'if you like your ebola you can keep your ebola', 'ebola upon them']"
120,119,999,119_generation_scouts_boomers_millennials,"['generation', 'scouts', 'boomers', 'millennials', 'hippies', 'hippie', 'scout', 'boy', 'millennial', 'gen']","['can do generation', 'more than a generation', ""if millennials and gen z's get their way into power here then they will turn this country into venezuela cuba or something worst than those two unfortunately it will happen in to years from now mark cuban is dead wrong baby boomers were a better generation and they knew how to get things done whether it's financing work ethics or leadership baby boomers were the gold standard of generations but the left wants to destroy gold standard because they hate prosperity are some millennials and gen z's good workers and know how to finance yes but most don't know and this is offensive towards baby boomers what this rich a hole said even in music baby boomers crushed the recent music genres because most of today's music sucks so no we have a lot to thank baby boomers for a lot more than millennials and gen z's""]"
121,120,987,120_maga_bern_kag_trump,"['maga', 'bern', 'kag', 'trump', 'endorsement', 'winning', 'kennedy', 'jfk', 'president', 'endorsements']","['now maga', 'indeed maga', 'indeed i would maga']"
122,121,971,121_mayweather_boxing_ufc_tony,"['mayweather', 'boxing', 'ufc', 'tony', 'mcgregor', 'mma', 'fight', 'james', 'kevin', 'manny']","['mayweather makes million a fight mcgregor not even million a fight this is all about mcgregor getting permission from daddy dana white to fight mayweather is his own boss he does not need anyones permission', 'mayweather is not known for his punching power but for his boxing skills no mma fighter could defeat an experienced boxer under the strict rules of boxing and the results will not show who the best fighter is but the best boxer it would take a bout under mma rules to find out who the best fighter might be this is a farce', 'boxing ufc']"
123,122,967,122_diaper_diapers_weasel_bull,"['diaper', 'diapers', 'weasel', 'bull', 'bees', 'bee', 'bubble', 'gravity', 'apples', 'oranges']","['sounds like someone is due for a diaper change', 'he can change his own diaper', ""now it's diaper joe""]"
124,123,952,123_moore_roy_michael_moores,"['moore', 'roy', 'michael', 'moores', 'alabama', 'judge', 'strange', 'accusers', 'yearbook', 'luther']","['the more we see of moore the more of moore there is too see', 'n e moore', 'go moore go']"
125,124,949,124_reid_harry_uniparty_reids,"['reid', 'harry', 'uniparty', 'reids', 'georgia', 'joy', 'senate', 'nevada', 'ga', 'hairy']","['where the hell is harry reid in all this', 'harry reid going to be on there', 'harry reid really']"
126,125,945,125_palin_sarah_palins_alaska,"['palin', 'sarah', 'palins', 'alaska', 'governor', 'applause', 'lsm', 'msm', 'palis', 'mccain']","['why not call it by its real name a n c h o r b a b i e s sarah palin was right', 'we already have one her name is sarah palin', 'sarah palin']"
127,126,906,126_id_voter_photo_ids,"['id', 'voter', 'photo', 'ids', 'vote', 'voting', 'fraud', 'laws', 'card', 'identification']","['voter id now', 'voter id now', 'must have voter id']"
128,127,888,127_christie_chris_christies_flake,"['christie', 'chris', 'christies', 'flake', 'nj', 'jersey', 'corker', 'rino', 'fat', 'republican']","['yes just shut up christie', 'to hell with christie', 'christie please go away']"
129,128,880,128_surprise_shocked_surprised_shock,"['surprise', 'shocked', 'surprised', 'shock', 'shocking', 'surprising', 'surprises', 'gomer', 'shocker', 'pyle']","[""well there's a surprise"", 'im sure your just so shocked and surprised', 'that s a surprise i m actually surprised it s only']"
